Login,793,794,795,796,797,798,799,800,801,802,804,805,806,807,808,809,810,812,813,814,815,816,817,818,819,820,821,822,823,824,825,826,827,828,829,830,831,832,833,943,944,945,946,947,948,949,950,951,952,953,954,955,956,957,958,959,960,961,963,964,966,967,968,989,990,991,1003,1004,1005,1006
 U1,,,,,,,,,,2,,,,,,,,153,,,,12,,8,268,,124,,,4,,,7,29,39,,21,,,22,,,,,,,,52,,,,,,,,,,,,,,,,,,,65,15,50,18
 U2,,12,,,15,,,31,15,3,,,31,11,17,19,,7,,,,12,,7,10,20,11,21,,5,12,3,31,8,6,18,15,,,,,,,,,,99,,,,12,25,16,19,73,,,17,33,43,,,,11,,,67,,,
 U7,35,10,143,161,17,45,207,12,21,3,36,55,18,10,11,18,155,12,244,396,151,4,23,6,7,13,10,12,100,6,7,5,4,6,10,6,6,45,44,16,28,34,25,21,11,31,13,,,25,9,9,34,16,36,7,21,11,10,46,,125,37,8,10,,,,,
 U9,,16,,,,,,,,6,,,23,28,24,39,,24,,,,17,79,75,17,,11,,31,11,28,,181,14,15,34,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U10,,,,,,,,,16,5,,,,36,,39,,40,,,,8,,10,11,,19,,,5,19,43,4,7,8,10,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 U16,,,,,,,,,,9,,,,41,,,,,,,,10,,6,13,,12,,,11,,,9,46,5,,6,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
 U20,,10,,,26,25,,137,341,6,,,37,18,18,28,,9,,,16,10,26,15,20,400,14,39,,47,15,9,8,7,22,16,48,,,14,1001,,,,85,,20,,,,18,39,21,87,220,,,27,17,126,,,,48,367,,40,,,
 U25,,12,,,12,,,,15,8,,,,15,11,16,,,,,,14,,10,12,,10,19,,5,12,9,6,6,5,21,4,,,,,,,,61,,37,,,,31,13,18,,,,,19,72,24,,,,24,75,,,,,
 U35,122,,,67,,33,,,,,,,,,15,,,,,,,,,9,15,,,,,,,,10,16,,,31,60,,,,,,,,,,,,,,,,,32,,,48,,,,,,,,143,57,,,
 U42,48,18,,52,,,,28,13,3,119,,,,25,,34,24,69,,,,,,9,,,,,,,,5,,,,17,,,,,38,,,,180,,,335,,,,,,,,,26,10,,,137,,44,,,,78,,
